Dataset,AMS,ADNN,T,Bf,Cost_history
1,7.9493635255027595,15.395117712082547,301.7783707453384,330,"[0.11019804000854512, 0.11548020362854025, 0.11066033363342305, 0.11545826911926291, 0.11070920944213887, 0.1149833393096926, 0.11039711952209492, 0.11565734863281271, 0.11050583839416524, 0.10894634246826192]"
2,7.9493635255027595,15.395117712082547,286.10226124066213,311,"[0.10970475196838399, 0.10777666091918965, 0.10984637260437032, 0.10764290809631367, 0.11033513069152852, 0.10742976188659688, 0.11105420112609883, 0.10739852905273456, 0.10965921401977559, 0.10744621276855487]"
3,7.9493635255027595,15.395117712082547,200.48261041881793,341,"[0.0986345005035402, 0.11186768531799336, 0.09848596572875992, 0.11163737297058125, 0.09852339744567887, 0.10597826957702655, 0.09882380485534684, 0.10612799644470233, 0.09853579521179215, 0.1093714427948]"
4,7.9493635255027595,15.395117712082547,243.05524383842882,270,"[0.11305453300476095, 0.11160184860229512, 0.11277033805847189, 0.11163475036621114, 0.11247231483459494, 0.1113391113281252, 0.11294891357421896, 0.11300947189331076, 0.11297823905944845, 0.11329295158386252]"
5,7.9493635255027595,15.395117712082547,291.41741561982684,253,"[0.10880448341369649, 0.11309005737304709, 0.1082747173309328, 0.11296751022338888, 0.10835315704345723, 0.11362363815307638, 0.10861875534057637, 0.1137323570251467, 0.10880972862243672, 0.11351754188537619]"
6,8.28639323922125,15.05784634608946,361.5165984466458,228,"[0.11118032455444356, 0.10912086486816426, 0.11252262115478537, 0.11009456634521504, 0.11226918220520041, 0.1094930362701418, 0.111885566711426, 0.1093402099609377, 0.11253692626953146, 0.11390211105346701]"
7,8.28639323922125,15.05784634608946,311.28227078267776,324,"[0.12193181037902856, 0.12200428962707544, 0.12103368759155296, 0.1217401218414309, 0.12057067871093773, 0.12304546356201196, 0.12069680213928245, 0.1219535064697268, 0.12074043273925804, 0.12166597366333032]"
8,8.28639323922125,15.05784634608946,442.71055757269784,358,"[0.11896850585937523, 0.11913969039917015, 0.11927105903625511, 0.11910416603088401, 0.11943509101867698, 0.11911561012268089, 0.11900593757629417, 0.11923434257507347, 0.11942078590393089, 0.11927558898925804]"
9,8.28639323922125,15.05784634608946,268.94625661200115,255,"[0.10630895614624042, 0.10858323097229024, 0.10619070053100604, 0.1085629653930666, 0.10639502525329608, 0.1089129638671877, 0.10573222160339374, 0.10819341659545918, 0.10666467666625995, 0.10829736709594746]"
10,8.28639323922125,15.05784634608946,356.5969391780378,313,"[0.11639120101928734, 0.1158533287048342, 0.11550595283508322, 0.11572482109069845, 0.11577441215515158, 0.11635782241821312, 0.11587907791137717, 0.11638905525207542, 0.11767651557922386, 0.11501743316650412]"
11,7.855006609884037,16.53152200761843,311.97161972661377,240,"[0.10641171455383319, 0.12061049461364769, 0.10771610260009785, 0.12083675384521508, 0.10657002449035663, 0.12094380378723169, 0.10665847778320331, 0.12097265243530297, 0.10713984489440936, 0.12098648071289085]"
12,7.855006609884037,16.53152200761843,399.44590631984534,269,"[0.12890269279480004, 0.12829448699951196, 0.1286070537567141, 0.12796880722045922, 0.12824918746948266, 0.12809206962585473, 0.12905170440673852, 0.12822844505310083, 0.12954356193542504, 0.1283171367645266]"
13,7.855006609884037,16.53152200761843,236.2280894426156,344,"[0.10857369422912617, 0.10605694770813007, 0.10859705924987813, 0.10675408363342304, 0.10893442153930684, 0.10685255050659198, 0.10760666847229024, 0.10664846420288104, 0.10875179290771504, 0.10666467666625995]"
14,7.855006609884037,16.53152200761843,299.7867284738974,361,"[0.11988546371459984, 0.11697008132934593, 0.11539270401000998, 0.11439945220947287, 0.1172275733947756, 0.11489679336547873, 0.1163850021362307, 0.11544563293457052, 0.11605431556701681, 0.11500074386596701]"
15,7.855006609884037,16.53152200761843,228.58488474127927,214,"[0.10365082740783708, 0.10812904357910176, 0.11115958213806172, 0.1124508571624758, 0.13841917037963897, 0.11275984764099142, 0.11038949012756367, 0.10814787864685078, 0.11038352966308614, 0.11277486801147482]"
16,7.837326722360787,15.803929574113678,211.3171429790193,309,"[0.09475352287292493, 0.1142466259002688, 0.14003231048584008, 0.10603739738464374, 0.096072931289673, 0.10777451515197772, 0.09662653923034682, 0.10790302276611348, 0.0965163898468019, 0.0976767730712892]"
17,7.837326722360787,15.803929574113678,425.77889029624396,290,"[0.1265917015075686, 0.11450721740722677, 0.11489774703979513, 0.11417295455932638, 0.11499287605285666, 0.11593653678894064, 0.11564375877380392, 0.11599542617797873, 0.11494137763977072, 0.11468746185302756]"
18,7.837326722360787,15.803929574113678,427.100710322735,297,"[0.18336560249328646, 0.12632228851318383, 0.126059789657593, 0.12635805130004907, 0.1261477661132815, 0.126226444244385, 0.12645747184753442, 0.1263468456268313, 0.12616135597229028, 0.12661101341247583]"
19,7.837326722360787,15.803929574113678,318.0158265716423,283,"[0.11620118141174338, 0.11045100212097188, 0.12450935363769558, 0.10932781219482442, 0.11619736671447776, 0.11064841270446797, 0.11626555442810081, 0.11065628051757832, 0.11525251388549826, 0.11119701385498067]"
20,7.837326722360787,15.803929574113678,307.0173338042129,357,"[0.11969568252563499, 0.11845352172851585, 0.12062909126281761, 0.11874272346496605, 0.12050344467163109, 0.12189056396484399, 0.12043978691101097, 0.11898281097412132, 0.12041975975036644, 0.11895348548889183]"
21,7.995836412079414,15.902385185434724,340.4698488879972,284,"[0.11139323234558125, 0.1102855396270754, 0.11426903724670431, 0.10962059020996114, 0.11383058547973654, 0.11005045890808125, 0.11243464469909689, 0.11027361869812032, 0.11435248374938986, 0.11020042419433614]"
22,7.995836412079414,15.902385185434724,346.0111204378322,241,"[0.11367942810058615, 0.11272766113281271, 0.11339165687561056, 0.11277892112731955, 0.1135497283935549, 0.11786033630371116, 0.11344816207885763, 0.11283614158630392, 0.11372782707214377, 0.11247422218322775]"
23,7.995836412079414,15.902385185434724,276.87453797286014,206,"[0.11277367591857931, 0.11367918968200705, 0.11275865554809592, 0.11543132781982443, 0.11492468833923361, 0.11430050849914572, 0.11210824966430685, 0.09646584510803237, 0.11179258346557637, 0.09714462280273452]"
24,7.995836412079414,15.902385185434724,239.4278092606679,303,"[0.11398484230041525, 0.11597706794738791, 0.11299111366271994, 0.11551024436950705, 0.11345269203186056, 0.1135041904449465, 0.11247994422912619, 0.1128180217742922, 0.11303951263427756, 0.11351134300231955]"
25,7.995836412079414,15.902385185434724,340.1796603889265,267,"[0.11191012382507345, 0.11234189987182638, 0.11227800369262717, 0.11324932098388693, 0.1121304225921633, 0.11350132942199728, 0.11531760215759299, 0.11303736686706564, 0.11160900115966818, 0.1131529998779299]"
