Dataset,AMS,ADNN,T,Bf,Cost_history
1,4.518297573291642,10.782493602159324,158.27434919559866,270,"[0.11949016571044944, 0.11910988807678245, 0.12124850273132347, 0.12019874572753929, 0.12070204734802269, 0.11900379180908226, 0.12109281539917015, 0.11852766990661644, 0.11862470626831077, 0.12026454925537132]"
2,4.518297573291642,10.782493602159324,181.40402415497488,342,"[0.11642648696899435, 0.11078001976013203, 0.11525370597839377, 0.11048366546630879, 0.11587669372558615, 0.11236741065979024, 0.11532713890075705, 0.11098267555236836, 0.11516263008117697, 0.1109430980682375]"
3,4.518297573291642,10.782493602159324,112.58034713128635,278,"[0.10567094802856464, 0.11750127792358421, 0.12011959075927757, 0.11761261940002464, 0.11894084930419944, 0.11951186180114769, 0.11791564941406273, 0.11766864776611351, 0.12080885887146019, 0.11773397445678734]"
4,4.518297573291642,10.782493602159324,192.73857135904507,327,"[0.11388709068298361, 0.11705519676208519, 0.11413337707519552, 0.11748172760009788, 0.11769964218139671, 0.11796285629272484, 0.11394860267639181, 0.11686899185180687, 0.11358739852905295, 0.11661555290222189]"
5,4.518297573291642,10.782493602159324,118.71369147797476,345,"[0.12044908523559593, 0.11717488288879417, 0.12065650939941429, 0.11685659408569359, 0.12018992424011253, 0.1176359844207766, 0.12002970695495628, 0.11756946563720726, 0.12052514076232933, 0.11630560874938986]"
6,4.795593536102359,11.895724697540352,160.15133903498707,380,"[0.12023427009582542, 0.10794903755188008, 0.11323740005493185, 0.10788251876831075, 0.11284186363220236, 0.10820343017578145, 0.11280514717102072, 0.10955717086792012, 0.10771753311157246, 0.1088378620147707]"
7,4.795593536102359,11.895724697540352,194.24186286003587,349,"[0.11825277328491234, 0.11795022010803245, 0.11867691993713401, 0.11808540344238304, 0.11854149818420433, 0.11938478469848655, 0.11842228889465355, 0.1190402698516848, 0.11806537628173851, 0.11820294380188011]"
8,4.795593536102359,11.895724697540352,135.73454500085487,300,"[0.11527087211608908, 0.1178367328643801, 0.1149070453643801, 0.11432101249694845, 0.11552931785583517, 0.11768867492675804, 0.15005495071411168, 0.11800076484680198, 0.11608697891235374, 0.11744191169738792]"
9,4.795593536102359,11.895724697540352,182.69051723128786,301,"[0.11213852882385274, 0.11310555458068869, 0.11417366981506369, 0.11293007850646994, 0.11150099754333516, 0.11287667274475119, 0.11203600883483907, 0.11260725975036642, 0.11159255027771016, 0.1127407741546633]"
10,4.795593536102359,11.895724697540352,174.85272627396012,314,"[0.12439729690551782, 0.1216190052032473, 0.12271859169006372, 0.12382103919982934, 0.12281753540039086, 0.12142683982849144, 0.12257506370544458, 0.12130214691162132, 0.12256123542785669, 0.12424947738647485]"
11,4.516584558853796,11.66972262690743,191.56058177963254,412,"[0.11739851951599144, 0.11859347343444847, 0.1172867012023928, 0.11787654876709007, 0.11737634658813499, 0.11741330146789573, 0.11682607650756859, 0.11651732444763205, 0.11863519668579124, 0.11552025794982931]"
12,4.516584558853796,11.66972262690743,172.12002018158742,327,"[0.11539484977722189, 0.11751176834106468, 0.11541559219360373, 0.11756755828857444, 0.11562993049621603, 0.1180191230773928, 0.11524607658386252, 0.11790349006652855, 0.11537577629089377, 0.11802007675170921]"
13,4.516584558853796,11.66972262690743,118.38909914541081,357,"[0.12119533538818382, 0.11931421279907249, 0.12166287422180198, 0.11942960739135765, 0.112617988586426, 0.12072255134582542, 0.11180426597595235, 0.12011196136474632, 0.11116697311401387, 0.11975361824035667]"
14,4.516584558853796,11.66972262690743,144.53231692566393,345,"[0.11565138816833517, 0.1151828956604006, 0.11587574005126974, 0.11484481811523459, 0.11587121009826681, 0.11490180015563986, 0.11544062614440939, 0.11556126594543478, 0.11564471244812033, 0.11520316123962424]"
15,4.516584558853796,11.66972262690743,198.4713703479332,322,"[0.11727263450622581, 0.11714007377624534, 0.11788846969604515, 0.11709239006042503, 0.11764719009399437, 0.1168432426452639, 0.1175916385650637, 0.11653615951538107, 0.11746479988098167, 0.1178355407714846]"
16,4.503258343744408,11.852289930022017,117.60868495836337,319,"[0.112831611633301, 0.10022475242614762, 0.11298229217529318, 0.10004927635192887, 0.11307432174682638, 0.10129715919494646, 0.11286952018737814, 0.10120751380920427, 0.11289073944091818, 0.10172154426574724]"
17,4.503258343744408,11.852289930022017,188.33760510130344,318,"[0.1151361656188967, 0.11567666053771994, 0.11470629692077658, 0.11569025039672873, 0.1152286720275881, 0.11587287902832052, 0.11502792358398459, 0.11570837020874045, 0.11547400474548361, 0.11582066535949728]"
18,4.503258343744408,11.852289930022017,178.58540326909724,251,"[0.10756208419799823, 0.11934139251709007, 0.10705925941467304, 0.11942674636840843, 0.10704066276550311, 0.12201787948608422, 0.10080577850341813, 0.10741784095764179, 0.10640694618225116, 0.11159588813781758]"
19,4.503258343744408,11.852289930022017,145.81090471121004,306,"[0.1220145416259768, 0.1169660282135012, 0.12274219512939477, 0.11699416160583519, 0.1218004417419436, 0.11691452980041525, 0.12326194763183618, 0.11658932685852072, 0.12308909416198754, 0.11736514091491722]"
20,4.503258343744408,11.852289930022017,123.94430857115229,320,"[0.11618544578552267, 0.11356260299682638, 0.11834861755371116, 0.11715342521667503, 0.11646606445312521, 0.11808397293090843, 0.11658002853393576, 0.11418821334838888, 0.11708213806152366, 0.11562873840332052]"
21,4.506272409318695,10.564729218241446,145.22700026114248,353,"[0.12017585754394554, 0.1179874134063723, 0.12151791572570825, 0.11821891784667991, 0.12174536705017114, 0.11779810905456566, 0.1207471084594729, 0.11867715835571312, 0.11808206558227562, 0.1203077030181887]"
22,4.506272409318695,10.564729218241446,168.43566798380638,246,"[0.11127426147460957, 0.10970832824707051, 0.11263062477111838, 0.10584380149841327, 0.10699512481689472, 0.1041100215911867, 0.11029078483581563, 0.10444309234619158, 0.11124898910522481, 0.104279775619507]"
23,4.506272409318695,10.564729218241446,103.89359943304352,310,"[0.11093046188354512, 0.12020709037780784, 0.10971285820007344, 0.12010194778442405, 0.10964014053344746, 0.12017848014831566, 0.11108138084411641, 0.12022902488708519, 0.10984541893005391, 0.12035610198974632]"
24,4.506272409318695,10.564729218241446,157.54881409970383,334,"[0.11741020202636741, 0.11451341629028342, 0.11665822982788107, 0.1142068099975588, 0.11448289871215842, 0.11519243240356467, 0.11655523300170921, 0.11531068801879904, 0.11485220909118674, 0.11464192390441916]"
25,4.506272409318695,10.564729218241446,170.6280425936911,434,"[0.11649991989135763, 0.1162498188018801, 0.12097408294677757, 0.12051512718200706, 0.1191175174713137, 0.11927701950073265, 0.1221661758422854, 0.12112237930297874, 0.11805893898010276, 0.12084271430969262]"
