Dataset,AMS,ADNN,T,Bf,Cost_history
1,3.6577728053126575,21.582588788043847,167.98417319312415,215,"[0.09141494750976575, 0.09626318931579604, 0.09120347023010267, 0.0943360519409181, 0.09075881958007824, 0.09513070106506362, 0.09201385498046888, 0.09169508934021009, 0.0908718299865724, 0.09193326950073255]"
2,3.6577728053126575,21.582588788043847,194.151580696363,139,"[0.10051705360412615, 0.09873678207397477, 0.10068227767944352, 0.09852005958557145, 0.10049297332763688, 0.09843542098999039, 0.09975649833679215, 0.09905936241149918, 0.09778120040893569, 0.09790136337280288]"
3,3.6577728053126575,21.582588788043847,210.93691810315946,241,"[0.09858371734619156, 0.0978584480285646, 0.0989866447448732, 0.09846999168396012, 0.09760763168334977, 0.09818484306335465, 0.09728123664855971, 0.09612848281860366, 0.09693552970886245, 0.09472872734069838]"
4,3.6577728053126575,21.582588788043847,211.7652144445705,90,"[0.09511448860168471, 0.08952714920043957, 0.0966241550445558, 0.09604575157165542, 0.09525396347045913, 0.09655024528503432, 0.09557606697082534, 0.09636260986328139, 0.09497859001159682, 0.09715606689453139]"
5,3.6577728053126575,21.582588788043847,131.4791050988685,191,"[0.08709432601928721, 0.08573343276977549, 0.0874135684967042, 0.08556558609008799, 0.0873818588256837, 0.08584310531616221, 0.08827783584594738, 0.08610631942749034, 0.08774163246154795, 0.08552600860595712]"
6,3.922279787570519,22.24838782689642,158.44499249515687,223,"[0.09770323753356948, 0.09686424255371108, 0.09735013961792008, 0.0965459537506105, 0.09815551757812516, 0.09671093940734878, 0.09800531387329117, 0.09642626762390151, 0.09578945159912124, 0.09657313346862807]"
7,3.922279787570519,22.24838782689642,181.1016093136372,154,"[0.10305692672729509, 0.09699513435363784, 0.10331465721130388, 0.09704377174377456, 0.10338785171508806, 0.09799935340881363, 0.10328366279602068, 0.09525825500488296, 0.10343482017517107, 0.09684707641601577]"
8,3.922279787570519,22.24838782689642,198.1095563778949,152,"[0.10100914955139176, 0.10470249176025409, 0.10095693588256853, 0.10490490913391132, 0.10063530921936051, 0.10511996269226093, 0.1011195373535158, 0.10480572700500507, 0.10145332336425798, 0.11152531623840353]"
9,3.922279787570519,22.24838782689642,182.20452276217347,132,"[0.0955853652954103, 0.09759451866149917, 0.09378053665161147, 0.09825565338134781, 0.0974464607238771, 0.09561469078063979, 0.09579088211059585, 0.09909846305847184, 0.09563567161560073, 0.09881140708923355]"
10,3.922279787570519,22.24838782689642,127.57639734805085,139,"[0.08118631362915045, 0.08613492965698252, 0.08817936897277844, 0.08643104553222666, 0.08682658195495616, 0.08645345687866221, 0.0882649612426759, 0.08730937957763682, 0.08758332252502452, 0.08777071952819834]"
11,3.5534831357129186,23.849737177864892,133.02925883828752,177,"[0.08601381301879893, 0.0963783454895021, 0.08605863571167002, 0.09384061813354505, 0.08591153144836436, 0.09381105422973646, 0.09547354698181167, 0.09437920570373548, 0.08584453582763682, 0.09471966743469251]"
12,3.5534831357129186,23.849737177864892,157.5289367696192,183,"[0.08892943382263195, 0.09614278793334975, 0.08911635398864758, 0.09372856140136733, 0.08957554817199719, 0.09366681098938001, 0.09383728027343763, 0.09370424270629897, 0.09378983497619642, 0.09365393638610853]"
13,3.5534831357129186,23.849737177864892,199.81892175477142,199,"[0.10311533927917498, 0.09918071746826188, 0.10008670806884781, 0.10089947700500505, 0.10000183105468766, 0.10177375793457048, 0.10314514160156268, 0.10171081542968767, 0.09959794998168961, 0.10109688758850115]"
14,3.5534831357129186,23.849737177864892,150.35782846829713,72,"[0.09636690139770522, 0.09571554183959975, 0.09393431663513196, 0.09503795623779311, 0.09542395591735854, 0.09651305198669448, 0.09501029968261733, 0.09681393623352065, 0.09487750053405776, 0.09632875442504897]"
15,3.5534831357129186,23.849737177864892,147.50635662031502,177,"[0.0877037239074708, 0.09757496833801284, 0.08787371635437023, 0.09799983024597182, 0.09465910911560073, 0.0850510787963868, 0.08854629516601574, 0.0974312019348146, 0.0883422088623048, 0.09746028900146499]"
16,3.9380755353060684,24.109449077528588,125.05018791866672,147,"[0.08763720512390147, 0.08873583793640148, 0.08748008728027354, 0.0886616897583009, 0.08744670867919932, 0.08905460357666027, 0.08722450256347666, 0.0858419132232667, 0.08806874275207531, 0.08646394729614268]"
17,3.9380755353060684,24.109449077528588,120.6514270006506,187,"[0.08883597373962414, 0.08677865982055674, 0.08926417350769054, 0.08930899620056164, 0.08786227226257336, 0.08840133666992199, 0.08767416000366221, 0.08808495521545422, 0.08722116470336924, 0.0887689781188966]"
18,3.9380755353060684,24.109449077528588,172.24689810031867,285,"[0.09899689674377457, 0.09317733764648452, 0.09538414001464858, 0.09548022270202651, 0.09300591468811048, 0.09186698913574232, 0.09283329963684095, 0.0917577934265138, 0.0933425617218019, 0.09169055938720716]"
19,3.9380755353060684,24.109449077528588,223.032248683413,110,"[0.10003520965576188, 0.09500839233398452, 0.09920694351196305, 0.09446432113647474, 0.10371376991271991, 0.09541918754577651, 0.09920932769775406, 0.09474017143249526, 0.09999444007873551, 0.09494068145751967]"
20,3.9380755353060684,24.109449077528588,142.75151844984552,31,"[0.090584535598755, 0.09161498069763196, 0.08621503829956065, 0.09195425033569349, 0.09093214988708509, 0.09075142860412609, 0.09119798660278333, 0.09126784324646009, 0.08343150138854989, 0.0757205677032471]"
21,3.8978937366588107,21.86896659383973,123.8921220251246,202,"[0.08636667251586924, 0.07567049980163577, 0.08615090370178233, 0.0762534332275391, 0.08626558303833018, 0.0758581352233887, 0.08625056266784678, 0.07577516555786136, 0.08525826454162606, 0.0842576217651368]"
22,3.8978937366588107,21.86896659383973,216.4255112396655,159,"[0.08525015830993661, 0.09299566268920911, 0.08493782997131356, 0.09398772239685071, 0.08638717651367198, 0.09406854629516614, 0.08514525413513192, 0.09417392730712904, 0.08504511833190927, 0.09392001152038587]"
23,3.8978937366588107,21.86896659383973,143.3623817152244,198,"[0.07799031257629399, 0.0795462322235108, 0.0882504177093507, 0.07946445465087897, 0.08842684745788586, 0.0792875480651856, 0.08891393661499035, 0.07921483039855963, 0.08857991218566906, 0.07943059921264654]"
24,3.8978937366588107,21.86896659383973,143.9607557904322,192,"[0.08994700431823742, 0.08938195228576672, 0.09160210609436048, 0.08961750984191906, 0.09181620597839368, 0.08974458694458019, 0.0917120170593263, 0.09019805908203136, 0.09100772857666027, 0.09039165496826183]"
25,3.8978937366588107,21.86896659383973,138.02822781691813,183,"[0.09038831710815441, 0.09024884223938, 0.09042384147644054, 0.09010436058044445, 0.08911730766296398, 0.09015538215637219, 0.09043123245239269, 0.09029914855957043, 0.09050967216491711, 0.09024168968200695]"
