Dataset,AMS,ADNN,T,Bf,Cost_history
1,1.2918013727863962,13.221117598768473,78.63345160214489,171,"[0.08023693084716803, 0.08057667732238775, 0.07762815475463872, 0.080736894607544, 0.08618475914001475, 0.08090569496154791, 0.07738067626953128, 0.08084704399108893, 0.07727148056030277, 0.08097078323364264]"
2,1.2918013727863962,13.221117598768473,85.08479353269374,88,"[0.082626600265503, 0.08052374839782721, 0.08196212768554695, 0.08096363067626959, 0.08221008300781257, 0.08182909011840828, 0.08229805946350105, 0.0819237422943116, 0.08244659423828132, 0.08237649917602546]"
3,1.2918013727863962,13.221117598768473,79.23757193591898,109,"[0.08248307228088386, 0.08291174888610847, 0.08254100799560554, 0.08270384788513191, 0.06714655876159664, 0.08315803527832039, 0.08239151954650886, 0.08303095817565925, 0.06801034927368162, 0.08301999092102058]"
4,1.2918013727863962,13.221117598768473,82.00205003012431,59,"[0.08211137771606453, 0.08088280677795416, 0.08289458274841316, 0.08064319610595709, 0.08265091896057136, 0.0809352588653565, 0.08243586540222175, 0.08095576286315924, 0.08205773353576667, 0.08091690063476568]"
5,1.2918013727863962,13.221117598768473,80.49588814317568,118,"[0.0804910850524903, 0.07863976478576665, 0.08047844886779791, 0.07937385559082036, 0.08024336814880377, 0.07773782730102544, 0.08006097793579108, 0.07753898620605473, 0.08026148796081549, 0.07717897415161136]"
6,1.2802915427227206,13.974829052294096,96.91951549275109,128,"[0.08865143775939953, 0.06667735099792477, 0.08880569458007824, 0.066666145324707, 0.08990933418273937, 0.08697726249694834, 0.08967926025390636, 0.0867259693145753, 0.08977033615112316, 0.08619787216186534]"
7,1.2802915427227206,13.974829052294096,87.61371288976507,82,"[0.08685519218444834, 0.08467628479003915, 0.08650686264038096, 0.08497120857238778, 0.08722736358642588, 0.08431531906127938, 0.08667089462280284, 0.08498503684997567, 0.07610537528991702, 0.08480336189270028]"
8,1.2802915427227206,13.974829052294096,87.33254907762631,76,"[0.08046915054321295, 0.08366014480590828, 0.0838742446899415, 0.08355190277099617, 0.08276679039001472, 0.08341123580932625, 0.08309700012207039, 0.0830066394805909, 0.08342267990112312, 0.08303024291992195]"
9,1.2802915427227206,13.974829052294096,81.0764772387362,76,"[0.07961680412292486, 0.08081104278564459, 0.07975747108459479, 0.08079363822937018, 0.08104278564453131, 0.08096291542053229, 0.08123232841491705, 0.08097316741943365, 0.08112098693847662, 0.08060218811035162]"
10,1.2802915427227206,13.974829052294096,103.68327416303588,113,"[0.0892415237426759, 0.080598373413086, 0.08831502914428722, 0.08055927276611334, 0.09262396812438978, 0.09216501235961927, 0.0921697807312013, 0.09186937332153333, 0.08977128982543957, 0.09178425788879407]"
11,1.207497270810345,14.485505400580402,84.11122100145313,107,"[0.08414794921875009, 0.07992889404296881, 0.08356215476989753, 0.07996799468994147, 0.08359362602233894, 0.08005764007568365, 0.08359434127807625, 0.07973124504089361, 0.08284809112548835, 0.08042695045471197]"
12,1.207497270810345,14.485505400580402,92.7996052147344,118,"[0.08504440307617196, 0.071088809967041, 0.08508922576904306, 0.08338572502136238, 0.08457185745239267, 0.08299543380737312, 0.08475591659545907, 0.08336140632629402, 0.08482315063476571, 0.08421875953674325]"
13,1.207497270810345,14.485505400580402,104.14259232177594,74,"[0.08735563278198252, 0.08934165954589855, 0.08757950782775889, 0.08986904144287121, 0.08769251823425303, 0.08909394264221203, 0.0875201416015626, 0.08916093826293957, 0.08808614730834971, 0.08959772109985363]"
14,1.207497270810345,14.485505400580402,76.39311229303223,75,"[0.07836534500122075, 0.07220174789428711, 0.07861377716064458, 0.07215287208557129, 0.07953550338745123, 0.07216002464294434, 0.08152987480163582, 0.07251288414001465, 0.08017947196960455, 0.07226206779479981]"
15,1.207497270810345,14.485505400580402,106.94442313885617,158,"[0.08874775886535656, 0.09107973098754894, 0.0887389373779298, 0.09126069068908704, 0.08879830360412609, 0.09052803039550793, 0.08830954551696789, 0.09061409950256359, 0.08923556327819836, 0.08920766830444347]"
16,1.2909535284690326,14.043843899800274,96.68219717370403,69,"[0.08682538986206065, 0.08616449356079112, 0.08653475761413584, 0.08567740440368661, 0.08686186790466319, 0.08652569770812998, 0.08678628921508799, 0.08608080863952647, 0.08654095649719248, 0.08621003150939952]"
17,1.2909535284690326,14.043843899800274,73.96817044465706,109,"[0.07735683441162114, 0.07712676048278813, 0.07727243423461917, 0.07855941772460942, 0.07625700950622562, 0.07748391151428227, 0.07680537223815921, 0.07912256240844731, 0.07679702758789066, 0.07739665031433109]"
18,1.2909535284690326,14.043843899800274,77.20782261122567,140,"[0.08263923645019539, 0.0811793994903565, 0.08128811836242682, 0.08127071380615242, 0.08153106689453132, 0.08057500839233404, 0.08142807006835943, 0.080553789138794, 0.08053209304809576, 0.0804469776153565]"
19,1.2909535284690326,14.043843899800274,107.51392494496936,78,"[0.09006955146789562, 0.09172060012817396, 0.09030057907104504, 0.09182931900024427, 0.09013297080993664, 0.0914685916900636, 0.09132935523986829, 0.09100582122802746, 0.09171392440795911, 0.09336258888244642]"
20,1.2909535284690326,14.043843899800274,84.81508550193425,189,"[0.08788134574890147, 0.08731748580932627, 0.08536340713500985, 0.08839370727539073, 0.08547045707702645, 0.08436729431152352, 0.0855832290649415, 0.08425476074218759, 0.08553578376770028, 0.08527352333068856]"
21,1.2739287077485395,13.597785175450417,82.5906558182283,121,"[0.08572818756103526, 0.08157636642456062, 0.08557059288024911, 0.08165623664855964, 0.08278157234191902, 0.08155490875244148, 0.0819549751281739, 0.08118178367614752, 0.08282877922058113, 0.0857372474670411]"
22,1.2739287077485395,13.597785175450417,107.7699014146546,74,"[0.08785058975219737, 0.07048704147338866, 0.09173943519592298, 0.07069375038146972, 0.09138562202453625, 0.07132293701171875, 0.09190227508544935, 0.0710430335998535, 0.09188820838928236, 0.07129480361938477]"
23,1.2739287077485395,13.597785175450417,98.01224140993038,75,"[0.09005214691162121, 0.0880682659149171, 0.09029747962951672, 0.0880530071258546, 0.0901875686645509, 0.08810641288757334, 0.08992650032043469, 0.08783223152160655, 0.08988406181335461, 0.08800222396850596]"
24,1.2739287077485395,13.597785175450417,71.07129247807306,127,"[0.08048607826232916, 0.0810423088073731, 0.06474973678588862, 0.07964326858520514, 0.06758548736572263, 0.07835390090942387, 0.06340124130249015, 0.07938100814819342, 0.06340457916259758, 0.08019926071166998]"
25,1.2739287077485395,13.597785175450417,88.18209305382213,10,"[0.08203222274780281, 0.08014585494995123, 0.07479574203491213, 0.06868364334106443, 0.07199813842773438, 0.07146431922912598, 0.07318617820739748, 0.07192613601684571, 0.0718937110900879, 0.07280065536499024]"
