,AMS,ADNN,T,Bf,minimum_cost
12,0.0003071311766362,0.0067137332216343,1.279322081073368,83,0.04248883247375481
22,0.000312562622467,0.0064938197002642,0.6577607105536372,10,0.038233299255371035
1,0.0003126775222254,0.0064144415534324,1.145160657027768,53,0.040300388336181575
6,0.0003213227564346,0.007298174413254,0.7223080158849875,10,0.037359018325805605
15,0.0003484075495746,0.0067607881788722,0.8265738046819414,24,0.039040107727050716
mean,0.00032042032546756,0.00673619141349142,0.9262250538443404,36,0.03948432922363275
