,AMS,ADNN,T,Bf,minimum_cost
15,7.837326722360787,15.803929574113678,211.3171429790193,309,0.09475352287292493
14,7.855006609884037,16.53152200761843,228.58488474127927,214,0.10365082740783708
2,7.949363525502759,15.395117712082548,200.48261041881796,341,0.09848596572875992
22,7.995836412079414,15.902385185434724,276.87453797286014,206,0.09646584510803237
8,8.28639323922125,15.05784634608946,268.94625661200115,255,0.10573222160339374
mean,7.984785301809649,15.738160165067768,237.24108654479556,265,0.09981767654418962
