,AMS,ADNN,T,Bf,minimum_cost
12,0.0674310917807887,5.968804526305974,71.34163333293824,21,0.07424952507019045
17,0.0678899612910305,6.152987614670755,72.45941889990264,10,0.06650068283081051
1,0.071160789074843,6.905752325779581,56.09059058565064,56,0.07097556114196776
21,0.0753368805449031,6.301914462240259,51.169917574347664,94,0.0660419654846191
9,0.0760383927598316,6.509976482880484,74.2229338638312,97,0.07448913574218752
mean,0.07157142309027938,6.367887082375411,65.05689885133408,55,0.07045137405395507
