,AMS,ADNN,T,Bf,minimum_cost
7,0.9078596491507304,7.346517468417498,68.984270950978,143,0.06452967643737786
21,0.9502171646507724,7.763195590488915,62.52407485104885,44,0.05590369224548332
1,0.9526299392885086,7.734951514027222,66.16897319067719,145,0.06437708854675286
13,0.9550203832913758,7.845395577881877,53.28218302564863,67,0.06537105560302729
17,0.9904165977591076,7.272913088472145,68.48570874635573,139,0.07026960372924804
mean,0.951228746828099,7.592594647857531,63.889042152941684,107,0.06409022331237788
