,AMS,ADNN,T,Bf,minimum_cost
11,1.207497270810345,14.485505400580402,92.7996052147344,118,0.071088809967041
23,1.2739287077485395,13.597785175450417,71.07129247807306,127,0.06340124130249015
5,1.2802915427227206,13.974829052294096,96.91951549275107,128,0.066666145324707
16,1.2909535284690326,14.043843899800274,73.96817044465706,109,0.07625700950622562
2,1.2918013727863962,13.221117598768473,79.23757193591898,109,0.06714655876159664
mean,1.2688944845074066,13.864616225378734,82.79923111322691,118,0.06891195297241208
