,AMS,ADNN,T,Bf,minimum_cost
15,4.503258343744408,11.852289930022016,117.60868495836336,319,0.10004927635192887
21,4.506272409318695,10.564729218241446,168.43566798380638,246,0.1041100215911867
12,4.516584558853796,11.66972262690743,118.3890991454108,357,0.11116697311401387
2,4.518297573291642,10.782493602159324,112.58034713128636,278,0.10567094802856464
5,4.795593536102359,11.895724697540352,160.15133903498707,380,0.10771753311157246
mean,4.568001284262181,11.352992014974113,135.43302765077078,316,0.1057429504394533
