,AMS,ADNN,T,Bf,minimum_cost
14,3.553483135712918,23.84973717786489,147.50635662031502,177,0.0850510787963868
4,3.6577728053126575,21.582588788043847,131.4791050988685,191,0.08552600860595712
20,3.8978937366588102,21.86896659383973,123.8921220251246,202,0.07567049980163577
9,3.922279787570519,22.24838782689642,127.57639734805085,139,0.08118631362915045
19,3.938075535306069,24.109449077528588,142.75151844984552,31,0.0757205677032471
mean,3.793901000112194,22.731825892834696,134.6410999084409,148,0.08063089370727546
