Dataset,AMS,ADNN,T,Bf,Cost_history
1,2.1106523844785103,9.193856432239695,105.55133972904724,185,"[0.08195163726806648, 0.08252813339233406, 0.08237936019897468, 0.08260871887207039, 0.08205153465271003, 0.08052041053771979, 0.08313490867614753, 0.08054902076721197, 0.08308603286743171, 0.0821988773345948]"
2,2.1106523844785103,9.193856432239695,113.06122626496396,131,"[0.08015086174011236, 0.0826573562622071, 0.08002402305603033, 0.0808890056610108, 0.08008481979370123, 0.08248211860656746, 0.07986475944519049, 0.08272315979003914, 0.07999684333801275, 0.0828082752227784]"
3,2.1106523844785103,9.193856432239695,122.96641338124132,167,"[0.08435704231262216, 0.08527400016784677, 0.08301426887512214, 0.08521081924438485, 0.08300067901611335, 0.08667733192443858, 0.08291127204895027, 0.08640839576721202, 0.08296825408935554, 0.08637883186340342]"
4,2.1106523844785103,9.193856432239695,111.8372886393843,195,"[0.08625533103942881, 0.08307649612426765, 0.08633567810058604, 0.08285715103149421, 0.08640124320983897, 0.08297278404235847, 0.08638598442077647, 0.08318163871765144, 0.08673645973205577, 0.08432843208312997]"
5,2.1106523844785103,9.193856432239695,86.17748781807481,168,"[0.07483031272888185, 0.07469298362731935, 0.07435037612915041, 0.0741963577270508, 0.07587553977966312, 0.0648086261749267, 0.07736207962036137, 0.0649450016021728, 0.07573010444641116, 0.06508376121520991]"
6,2.316885764120988,9.178483781929096,99.35845565930751,166,"[0.08511950492858895, 0.08231737136840828, 0.08506848335266122, 0.08246829032897957, 0.08479191780090341, 0.0838749599456788, 0.08483936309814462, 0.08398940086364755, 0.08505656242370614, 0.08393432617187509]"
7,2.316885764120988,9.178483781929096,133.16554200046232,143,"[0.086619634628296, 0.08077790260314947, 0.08675267219543467, 0.08077003479003912, 0.08679773330688487, 0.08039881706237799, 0.08506872177124032, 0.08507563591003427, 0.08528401374816903, 0.0846831989288331]"
8,2.316885764120988,9.178483781929096,115.77660476010283,153,"[0.08009292602539068, 0.08363892555236825, 0.08003618240356451, 0.08256651878356941, 0.0801563453674317, 0.0827477169036866, 0.08006288528442389, 0.08264257431030281, 0.07996370315551764, 0.0827934932708741]"
9,2.316885764120988,9.178483781929096,115.96567301286186,169,"[0.08580924987792979, 0.0878856372833253, 0.08611490249633799, 0.08813549995422375, 0.08568670272827159, 0.0881426525115968, 0.08575894355773936, 0.08967830657958996, 0.08583523750305186, 0.08778120994567881]"
10,2.316885764120988,9.178483781929096,139.67330291406233,132,"[0.09035732269287121, 0.08855726242065441, 0.06509115219116206, 0.08965541839599621, 0.09073378562927258, 0.08977844238281261, 0.09024478912353527, 0.08656122207641612, 0.09036089897155773, 0.08522488594055184]"
