Dataset,AMS,ADNN,T,Bf,Cost_history
1,5.650924363072209,21.088440343016842,299.2295442519769,284,"[0.10328270912170427, 0.10505177497863788, 0.1135854911804201, 0.10518886566162128, 0.10557796478271503, 0.10544707298278827, 0.106047410964966, 0.10536791801452655, 0.10638978004455585, 0.1040775966644289]"
2,5.650924363072209,21.088440343016842,236.48667649353487,268,"[0.09853722572326676, 0.10198404312133806, 0.09812070846557633, 0.10307719230651873, 0.09981276512146012, 0.09872247695922867, 0.09832503318786637, 0.09867383956909195, 0.09813620567321793, 0.09858705520629898]"
3,5.650924363072209,21.088440343016842,259.2251021056505,243,"[0.09829570770263688, 0.09413601875305189, 0.09830619812011734, 0.09683849334716811, 0.09851672172546402, 0.09997441291809098, 0.09894921302795426, 0.09676720619201674, 0.09870221138000504, 0.09679486274719253]"
4,5.650924363072209,21.088440343016842,272.87038549918634,176,"[0.09941651344299332, 0.10554911613464374, 0.09957673072814957, 0.10555650711059589, 0.09838273048400893, 0.1058178138732912, 0.09934474945068375, 0.10597803115844745, 0.09925939559936539, 0.1058631134033205]"
5,5.650924363072209,21.088440343016842,334.55031283836,217,"[0.10661746978759784, 0.10665156364440936, 0.10634376525878925, 0.10651542663574237, 0.10657288551330585, 0.10664774894714374, 0.10658528327941913, 0.10811235427856465, 0.10648681640625018, 0.10770203590393086]"
6,5.821144816886009,18.64930390069164,200.7766155442007,220,"[0.08478619575500497, 0.09291030883789075, 0.08504869461059579, 0.09287883758544935, 0.08493306159973153, 0.092748899459839, 0.08478381156921395, 0.09298111915588392, 0.0846238327026368, 0.0923989009857179]"
7,5.821144816886009,18.64930390069164,319.0589250882359,250,"[0.10530950546264667, 0.10455252647399921, 0.10511281013488788, 0.10453989028930682, 0.10440923690795917, 0.10429980278015154, 0.1045353603363039, 0.10559751510620136, 0.10485150337219257, 0.10476614952087421]"
8,5.821144816886009,18.64930390069164,208.07758439024968,239,"[0.09552051544189467, 0.09365345954895032, 0.09585906982421889, 0.09353115081787124, 0.09365369796752943, 0.09445597648620618, 0.09622265815734878, 0.09365942001342788, 0.09574772834777846, 0.09371234893798842]"
9,5.821144816886009,18.64930390069164,282.3243409014531,238,"[0.09593345642089858, 0.09835435867309586, 0.09604908943176284, 0.09687449455261246, 0.09619023323059096, 0.09838988304138199, 0.09578992843627944, 0.09821154594421402, 0.09599472999572768, 0.0985892009735109]"
10,5.821144816886009,18.64930390069164,342.32141623087193,231,"[0.10074569702148455, 0.10017778396606461, 0.10086204528808611, 0.10029627799987809, 0.10090162277221695, 0.10102393150329607, 0.09980585098266617, 0.100861806869507, 0.09986497879028336, 0.10016467094421404]"
11,5.794589554948379,19.773473929841607,332.64266736578423,204,"[0.10248519897460955, 0.10421993255615253, 0.10270859718322771, 0.10417797088623065, 0.1006941986083986, 0.10474612236022968, 0.10260178565979021, 0.1046581459045412, 0.10329415321350115, 0.10461904525756854]"
12,5.794589554948379,19.773473929841607,333.657880351339,241,"[0.10253264427185076, 0.10272123336792009, 0.09766485214233414, 0.10271503448486345, 0.09780408859252945, 0.10311200141906755, 0.0976429176330568, 0.09766771316528336, 0.0976133537292482, 0.10294558525085466]"
13,5.794589554948379,19.773473929841607,227.7642701219936,226,"[0.09611393928527846, 0.09821297645568863, 0.09587194442749038, 0.09800102233886734, 0.096303005218506, 0.0976612758636476, 0.09660412788391128, 0.09760238647460952, 0.09603716850280776, 0.09842588424682633]"
14,5.794589554948379,19.773473929841607,180.36001448208546,291,"[0.0945186805725099, 0.09504677772521987, 0.09344388961792005, 0.09229804992675794, 0.0940475654602052, 0.09223653793334974, 0.09442116737365736, 0.09265067100524915, 0.09309126853942884, 0.09436299324035657]"
15,5.794589554948379,19.773473929841607,200.89216265578162,218,"[0.0904162120819093, 0.0921237659454347, 0.09044053077697765, 0.09199072837829603, 0.09061815261840832, 0.09148814201354993, 0.08998705863952648, 0.09198834419250501, 0.09037687301635754, 0.09157659530639661]"
