Dataset,Query,AMS,ADNN,VMS,VDNN,T,Bf,Cost_history
AMS1_ADNN1_VMS1_VDNN1.npy,3%,0.0461478642429152,8.747671136077829,0.047533545537694,16.893104505268646,8.114173049926618,75,0.4567323546905517
AMS1_ADNN1_VMS1_VDNN2.npy,3%,0.0461478642429152,8.747671136077829,0.0475291216837898,18.649597769290573,8.233007329712756,40,0.4591563643005372
AMS1_ADNN1_VMS1_VDNN3.npy,3%,0.0461478642429152,8.747671136077829,0.0526656885251195,17.721828915810406,7.010906677247075,30,0.4652850802032471
AMS1_ADNN1_VMS1_VDNN4.npy,3%,0.0461478642429152,8.747671136077829,0.0560011789312684,15.628003699996802,7.909377589662704,65,0.4620093232177734
AMS1_ADNN1_VMS1_VDNN5.npy,3%,0.0461478642429152,8.747671136077829,0.0473321756826001,14.55182911687148,5.350870989702925,10,0.4350146768188476
AMS1_ADNN1_VMS2_VDNN1.npy,3%,0.0461478642429152,8.747671136077829,0.0445161064870478,17.816523165617067,4.4901281763425365,35,0.4624518429077148
AMS1_ADNN1_VMS2_VDNN2.npy,3%,0.0461478642429152,8.747671136077829,0.0481576154017942,15.302944138574048,5.974973518371698,60,0.4683984953796386
AMS1_ADNN1_VMS2_VDNN3.npy,3%,0.0461478642429152,8.747671136077829,0.0533420481586983,16.040031653716007,10.91672657012943,40,0.4765806463348387
AMS1_ADNN1_VMS2_VDNN4.npy,3%,0.0461478642429152,8.747671136077829,0.0508948776908427,18.28197628917241,4.680958923640219,30,0.4703510264801024
AMS1_ADNN1_VMS2_VDNN5.npy,3%,0.0461478642429152,8.747671136077829,0.046934694945053,16.282935685895225,8.207491875324394,35,0.4573586957885744
AMS1_ADNN1_VMS3_VDNN1.npy,3%,0.0461478642429152,8.747671136077829,0.0487785494115578,17.9471031051564,6.904744620627216,75,0.4542522158966064
AMS1_ADNN1_VMS3_VDNN2.npy,3%,0.0461478642429152,8.747671136077829,0.0442670968401561,18.57837125617869,31.17405050659047,75,0.558003284689331
AMS1_ADNN1_VMS3_VDNN3.npy,3%,0.0461478642429152,8.747671136077829,0.0496012648584064,16.371876645915098,5.096257431031017,60,0.464418254446411
