,AMS,ADNN,T,Bf,minimum_cost
2,5.650924363072209,21.08844034301684,259.2251021056505,243,0.09413601875305189
14,5.794589554948379,19.773473929841607,200.8921626557816,218,0.08998705863952648
5,5.821144816886009,18.64930390069164,200.7766155442007,220,0.0846238327026368
17,5.826997590517657,21.46386359040151,334.8375562211741,194,0.09667016983032241
24,5.926361466770097,20.161479260506542,211.316867498757,276,0.08389546394348153
mean,5.80400355843887,20.227312204891625,241.4096608051128,230,0.08986250877380382
